officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Antop Hill S.O,400037,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24120290,NA,Dadar H.O,NA,NA
B P T Colony S.O,400037,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-4100525,NA,Dadar H.O,NA,NA
B.P.Lane S.O,400003,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23421653,NA,Chinchbunder H.O,NA,NA
BEST STaff Quarters S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24180776,NA,Chinchbunder H.O,NA,NA
C G S Colony S.O,400037,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24097933,NA,Dadar H.O,NA,NA
Chamarbaug S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24705407,NA,Chinchbunder H.O,NA,NA
Chinchbunder H.O,400009,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23771116,NA,NA,NA,NA
Cotton Exchange S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23742035,NA,Chinchbunder H.O,NA,NA
Dadar Colony S.O,400014,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23774238,NA,Dadar H.O,NA,NA
Dadar H.O,400014,H.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24168410,NA,NA,NA,NA
Dockyard Road S.O,400010,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23774238,NA,Chinchbunder H.O,NA,NA
Haffkin Institute S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24125871,NA,Dadar H.O,NA,NA
Kalachowki S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23724722,NA,Chinchbunder H.O,NA,NA
Kidwai Nagar S.O (Mumbai),400031,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23724722,NA,Dadar H.O,NA,NA
L B S N E collage S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23744235,NA,Chinchbunder H.O,NA,NA
Lal Baug S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24702340,NA,Chinchbunder H.O,NA,NA
Mandvi S.O (Mumbai),400003,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23432740,NA,Chinchbunder H.O,NA,NA
Masjid S.O,400003,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23428490,NA,Chinchbunder H.O,NA,NA
Mazgaon Dock S.O,400010,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23770820,NA,Chinchbunder H.O,NA,NA
Mazgaon Road S.O,400010,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23776275,NA,Chinchbunder H.O,NA,NA
Mazgaon S.O,400010,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23774019,NA,Chinchbunder H.O,NA,NA
Naigaon S.O (Mumbai),400014,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24126454,NA,Dadar H.O,NA,NA
Noor Baug S.O,400009,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23713161,NA,Chinchbunder H.O,NA,NA
Null Bazar S.O,400003,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-23475628,NA,Chinchbunder H.O,NA,NA
Parel Naka S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24136363,NA,Dadar H.O,NA,NA
Parel Rly Work Shop S.O,400012,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24716497,NA,Chinchbunder H.O,NA,NA
Parel S.O,400012,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24712640,NA,Chinchbunder H.O,NA,NA
Princess Dock S.O,400009,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23481393,NA,Chinchbunder H.O,NA,NA
Reay Road S.O,400033,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23722756,NA,Chinchbunder H.O,NA,NA
Sewri S.O,400015,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24131420,NA,Chinchbunder H.O,NA,NA
Tank Road S.O,400033,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24704179,NA,Chinchbunder H.O,NA,NA
V J B Udyan S.O,400027,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23726146,NA,Chinchbunder H.O,NA,NA
V K Bhavan S.O,400010,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23731424,NA,Chinchbunder H.O,NA,NA
Wadala Rs S.O,400031,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24121220,NA,Dadar H.O,NA,NA
Wadala S.O,400031,S.O,Delivery,Mumbai  East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24127248,NA,Dadar H.O,NA,NA
Wadala Truck Terminal S.O,400037,S.O,Non-Delivery,Mumbai  East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24036467,NA,Dadar H.O,NA,NA
A I Staff Colony S.O,400029,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26157995,NA,Andheri H.O,NA,NA
Airport S.O (Mumbai),400099,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26156322,NA,Andheri H.O,NA,NA
Andheri East S.O,400069,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28343189,NA,Andheri H.O,NA,NA
Andheri H.O,400053,H.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26703985,NA,NA,NA,NA
Andheri Railway Station S.O,400058,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26288290,NA,Andheri H.O,NA,NA
Audit Bhavan S.O,400051,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Bandra,Mumbai,MAHARASHTRA,022-26570105,NA,Andheri H.O,NA,NA
Azad Nagar S.O (Mumbai),400053,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26744422,NA,Andheri H.O,NA,NA
B.N. Bhavan S.O,400051,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26475190,NA,Andheri H.O,NA,NA
Bandra West S.O,400050,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26418635,NA,Andheri H.O,NA,NA
Bandra(East) S.O,400051,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26406138,NA,Andheri H.O,NA,NA
Chakala Midc S.O,400093,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28328916,NA,Andheri H.O,NA,NA
Danda S.O,400052,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26042350,NA,Andheri H.O,NA,NA
Government Colony S.O,400051,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26406138,NA,Andheri H.O,NA,NA
H.M.P. School S.O,400058,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26231636,NA,Andheri H.O,NA,NA
Hanuman Road S.O,400057,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26116759,NA,Andheri H.O,NA,NA
International Airport S.O,400099,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26829246,NA,Andheri H.O,NA,NA
IRLA S.O,400056,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26287604,NA,Andheri H.O,NA,NA
J.B. Nagar S.O,400059,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-29203026,NA,Andheri H.O,NA,NA
Juhu S.O,400049,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26206377,NA,Andheri H.O,NA,NA
Khar Colony S.O,400052,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26463422,NA,Andheri H.O,NA,NA
Khar Delivery S.O,400052,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26462486,NA,Andheri H.O,NA,NA
Kherwadi S.O,400051,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26474790,NA,Andheri H.O,NA,NA
Madh B.O,400061,B.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,NA,Vesava S.O,Andheri H.O,NA,NA
Marol Bazar S.O,400059,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28329290,NA,Andheri H.O,NA,NA
Marol Naka S.O,400059,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28596701,NA,Andheri H.O,NA,NA
Nagardas Road S.O,400069,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28230157,NA,Andheri H.O,NA,NA
Sahar P & T Colony S.O,400099,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28320990,NA,Andheri H.O,NA,NA
Sahargaon B.O,400099,B.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,NA,Sahar P & T Colony S.O,Andheri H.O,NA,NA
Santacruz Central S.O,400054,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26128139,NA,Andheri H.O,NA,NA
Santacruz P&t Colony S.O,400029,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26650279,NA,Andheri H.O,NA,NA
Santacruz(East) S.O,400055,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26178539,NA,Andheri H.O,NA,NA
Santacruz(West) S.O,400054,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-2660049,NA,Andheri H.O,NA,NA
Seepz S.O,400096,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28290602,NA,Andheri H.O,NA,NA
V.P. Road S.O,400052,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26482433,NA,Andheri H.O,NA,NA
Vakola S.O,400055,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26663254,NA,Andheri H.O,NA,NA
Vesava S.O,400061,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26363422,NA,Andheri H.O,NA,NA
Vidyanagari S.O,400098,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26526230,NA,Andheri H.O,NA,NA
Vileeparle (East) S.O,400057,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26118604,NA,Andheri H.O,NA,NA
Vileparle Railway Station S.O,400057,S.O,Non-Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26142398,NA,Andheri H.O,NA,NA
Vileparle(West) S.O,400056,S.O,Delivery,Mumbai  North,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26141020,NA,Andheri H.O,NA,NA
Anushakti Nagar S.O,400094,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25517841,NA,Chembur H.O,NA,NA
BARC S.O,400085,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25505213,NA,Chembur H.O,NA,NA
Barve Nagar S.O,400084,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25129862,NA,Chembur H.O,NA,NA
Best Staff Colony S.O,400075,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25024536,NA,Chembur H.O,NA,NA
Bhandup Complex S.O,400082,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25962436,NA,Chembur H.O,NA,NA
Bhandup East S.O,400042,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25660507,NA,Chembur H.O,NA,NA
Bhandup Ind. Estate S.O,400078,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25663468,NA,Chembur H.O,NA,NA
Bhandup West S.O,400078,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25947130,NA,Chembur H.O,NA,NA
Chembur Extension S.O,400074,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25531147,NA,Chembur H.O,NA,NA
Chembur H.O,400071,H.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25275421,NA,NA,NA,NA
Chembur Rs S.O,400089,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25290207,NA,Chembur H.O,NA,NA
Chunabhatti S.O,400022,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24054191,NA,Dadar H.O,NA,NA
D.M. Colony S.O,400043,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25505805,NA,Chembur H.O,NA,NA
FCI S.O,400074,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25546715,NA,Chembur H.O,NA,NA
Ghatkopar West S.O,400086,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25152267,NA,Chembur H.O,NA,NA
Govandi S.O,400088,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25580782,NA,Chembur H.O,NA,NA
J.M. Road S.O,400078,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25962414,NA,Chembur H.O,NA,NA
Kannamwar Nagar S.O,400083,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25785565,NA,Chembur H.O,NA,NA
Kurla North S.O,400070,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25040889,NA,Dadar H.O,NA,NA
Kurla S.O,400070,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-26500882,NA,Dadar H.O,NA,NA
Mahul Road S.O,400074,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25233356,NA,Chembur H.O,NA,NA
Matunga S.O,400019,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24011967,NA,Dadar H.O,NA,NA
Mhada Colony S.O,400081,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25638676,NA,Chembur H.O,NA,NA
Mulund Colony S.O,400082,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25603909,NA,Chembur H.O,NA,NA
Mulund Dd Road S.O,400080,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25620112,NA,Chembur H.O,NA,NA
Mulund East S.O,400081,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-21632093,NA,Chembur H.O,NA,NA
Mulund West S.O,400080,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25602010,NA,Chembur H.O,NA,NA
Nahur S.O,400080,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25644742,NA,Chembur H.O,NA,NA
Nehru Nagar S.O (Mumbai),400024,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-25221014,NA,Dadar H.O,NA,NA
Nehru Road S.O (Mumbai),400080,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25612093,NA,Chembur H.O,NA,NA
Netajinagar S.O,400070,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-25038003,NA,Dadar H.O,NA,NA
NITIE S.O,400087,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-28575907,NA,Chembur H.O,NA,NA
P.H. Colony S.O,400078,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25790406,NA,Chembur H.O,NA,NA
Pant Nagar S.O,400075,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25124868,NA,Chembur H.O,NA,NA
Powai Iit S.O,400076,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25721735,NA,Chembur H.O,NA,NA
Psm Colony S.O,400079,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25180945,NA,Chembur H.O,NA,NA
R.A.Nagar S.O,400075,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25232864,NA,Chembur H.O,NA,NA
Rajawadi S.O,400077,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25158203,NA,Chembur H.O,NA,NA
Raoli Camp S.O,400022,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24031780,NA,Dadar H.O,NA,NA
Rifle Range S.O,400086,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25024535,NA,Chembur H.O,NA,NA
S.B. Road S.O,400080,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25603887,NA,Chembur H.O,NA,NA
Sahakar Bhavan S.O,400086,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25169381,NA,Chembur H.O,NA,NA
Sakinaka S.O,400072,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-28570752,NA,Dadar H.O,NA,NA
Shivaji Nagar S.O (Mumbai),400043,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25516871,NA,Chembur H.O,NA,NA
Sindhi Society S.O,400071,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,NA,NA,Chembur H.O,NA,NA
