officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Sion S.O,400022,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24071168,NA,Dadar H.O,NA,NA
T.F.Donar S.O,400088,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25580253,NA,Chembur H.O,NA,NA
Tagore Nagar S.O,400083,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25744568,NA,Chembur H.O,NA,NA
Tilak Nagar S.O (Mumbai),400089,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25225590,NA,Chembur H.O,NA,NA
Transit Camp S.O,400022,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-24043304,NA,Dadar H.O,NA,NA
Trombay S.O,400088,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25583765,NA,Chembur H.O,NA,NA
Usha Nagar S.O,400078,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25664705,NA,Chembur H.O,NA,NA
Vihar Road S.O,400072,S.O,Non-Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-28510211,NA,Dadar H.O,NA,NA
Vikhroli S.O,400079,S.O,Delivery,Mumbai  North East,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-25742295,NA,Chembur H.O,NA,NA
Aareymilk Colony S.O,400065,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon East,Mumbai,MAHARASHTRA,022-26858192,NA,Borivali H.O,NA,NA
Bangur Nagar S.O,400104,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon West,Mumbai,MAHARASHTRA,022-28724840,NA,Borivali H.O,NA,NA
Borivali East S.O,400066,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivlai East,Mumbai,MAHARASHTRA,022-28057511,NA,Borivali H.O,NA,NA
Borivali H.O,400091,H.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali West,Mumbai,MAHARASHTRA,022-28687256,NA,NA,NA,NA
Borivali West S.O,400092,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali West,Mumbai,MAHARASHTRA,022-28901990,NA,Borivali H.O,NA,NA
Charkop S.O,400067,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Kandivlai West,Mumbai,MAHARASHTRA,022-28688656,NA,Borivali H.O,NA,NA
Dahisar RS S.O,400068,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Dahisar West,Mumbai,MAHARASHTRA,022-28940390,NA,Borivali H.O,NA,NA
Dahisar S.O,400068,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Dahisar East,Mumbai,MAHARASHTRA,022-28489532,NA,Borivali H.O,NA,NA
Daulat Nagar S.O (Mumbai),400066,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali East,Mumbai,MAHARASHTRA,022-28927395,NA,Borivali H.O,NA,NA
Goregaon East S.O,400063,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon East,Mumbai,MAHARASHTRA,022-26862458,NA,Borivali H.O,NA,NA
Goregaon RS S.O,400104,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon West,Mumbai,MAHARASHTRA,022-28722481,NA,Borivali H.O,NA,NA
Goregaon S.O (Mumbai),400104,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon West,Mumbai,MAHARASHTRA,022-28723209,NA,Borivali H.O,NA,NA
Ins Hamla S.O,400095,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28823617,NA,Borivali H.O,NA,NA
Jogeshwari East S.O,400060,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Jogeshwari East,Mumbai,MAHARASHTRA,022-28246124,NA,Borivali H.O,NA,NA
Jogeshwari West S.O,400102,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Jogeshwari West,Mumbai,MAHARASHTRA,022-26790079,NA,Borivali H.O,NA,NA
Kandivali East S.O,400101,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Kandivali East,Mumbai,MAHARASHTRA,022-28868766,NA,Borivali H.O,NA,NA
Kandivali RS S.O,400067,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022--28644002,NA,Borivali H.O,NA,NA
Kandivali West S.O,400067,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Kandivali West,Mumbai,MAHARASHTRA,022-28012758,NA,Borivali H.O,NA,NA
Ketkipada B.O,400068,B.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Dahisar East,Mumbai,MAHARASHTRA,NA,Dahisar S.O,Borivali H.O,NA,NA
Kharodi S.O,400095,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28824831,NA,Borivali H.O,NA,NA
Liberty Garden S.O,400064,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28810730,NA,Borivali H.O,NA,NA
Magthane B.O,400066,B.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali East,Mumbai,MAHARASHTRA,NA,Borivali East S.O,Borivali H.O,NA,NA
Malad East S.O,400097,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad East,Mumbai,MAHARASHTRA,022-28770100,NA,Borivali H.O,NA,NA
Malad S.O,400064,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28822047,NA,Borivali H.O,NA,NA
Malad West Dely S.O,400064,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28820335,NA,Borivali H.O,NA,NA
Mandapeshwar S.O,400103,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali West,Mumbai,MAHARASHTRA,022-28935599,NA,Borivali H.O,NA,NA
Motilal Nagar S.O,400104,S.O,Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon West,Mumbai,MAHARASHTRA,022-28720391,NA,Borivali H.O,NA,NA
Nagari Niwara S.O,400065,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon East,Mumbai,MAHARASHTRA,022-28431855,NA,Borivali H.O,NA,NA
Orlem S.O,400064,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad West,Mumbai,MAHARASHTRA,022-28822699,NA,Borivali H.O,NA,NA
Oshiwara S.O,400102,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Jogeshwari West,Mumbai,MAHARASHTRA,022-26785248,NA,Borivali H.O,NA,NA
Rajendra Nagar S.O (Mumbai),400066,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali East,Mumbai,MAHARASHTRA,022-28708400,NA,Borivali H.O,NA,NA
Rani Sati Marg S.O,400097,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Malad East,Mumbai,MAHARASHTRA,022-28834287,NA,Borivali H.O,NA,NA
S R P F Camp S.O,400065,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Jogeshwari East,Mumbai,MAHARASHTRA,022-26850533,NA,Borivali H.O,NA,NA
S. K.Nagar S.O,400066,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Borivali East,Mumbai,MAHARASHTRA,022-28978876,NA,Borivali H.O,NA,NA
Sharma Estate S.O,400063,S.O,Non-Delivery,Mumbai  North West,Mumbai,Maharashtra,Goregaon East,Mumbai,MAHARASHTRA,022-26850584,NA,Borivali H.O,NA,NA
Ambewadi S.O (Mumbai),400004,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23826159,NA,Kalbadevi H.O,NA,NA
Asvini S.O,400005,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22153833,NA,Mumbai G.P.O. ,NA,NA
Bazargate S.O,400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22613927,NA,Mumbai G.P.O. ,NA,NA
Central Building S.O,400020,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22074876,NA,Mumbai G.P.O. ,NA,NA
Charni Road S.O,400004,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23824536,NA,Kalbadevi H.O,NA,NA
Chaupati S.O,400004,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23823799,NA,Kalbadevi H.O,NA,NA
Churchgate S.O,400020,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22041896,NA,Mumbai G.P.O. ,NA,NA
Colaba Bazar S.O,400005,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,NA,Mumbai,MAHARASHTRA,022-22020951,NA,Mumbai G.P.O. ,NA,NA
Colaba S.O,400005,S.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22151106,NA,Mumbai G.P.O. ,NA,NA
Elephanta Caves Po B.O,400001,B.O directly a/w Head Office,Delivery,Mumbai  South,Mumbai,Maharashtra,Uran,Raigarh(MH),MAHARASHTRA,NA,NA,Mumbai G.P.O. ,NA,NA
Girgaon S.O,400004,S.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23824536,NA,Kalbadevi H.O,NA,NA
High Court Building S.O (Mumbai),400032,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22670868,NA,Mumbai G.P.O. ,NA,NA
Holiday Camp S.O,400005,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22188779,NA,Mumbai G.P.O. ,NA,NA
Kalbadevi H.O,400002,H.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22057587,NA,NA,NA,NA
M.P.T. S.O,400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22617590,NA,Mumbai G.P.O. ,NA,NA
Madhavbaug S.O,400004,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22420407,NA,Kalbadevi H.O,NA,NA
Mantralaya S.O (Mumbai),400032,S.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22027388,NA,Mumbai G.P.O. ,NA,NA
Marine Lines S.O,400020,S.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22002979,NA,Kalbadevi H.O,NA,NA
Nariman Point S.O,400021,S.O,Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22835244,NA,Mumbai G.P.O. ,NA,NA
New Yogakshema S.O,400021,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22049864,NA,Mumbai G.P.O. ,NA,NA
Opera House S.O,400004,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23670354,NA,Kalbadevi H.O,NA,NA
Ramwadi S.O,400002,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22018841,NA,Kalbadevi H.O,NA,NA
S. C. Court S.O,400002,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22083229,NA,Kalbadevi H.O,NA,NA
Secretariate S.O,400032,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22842725,NA,Mumbai G.P.O. ,NA,NA
Stock Exchange S.O,400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22676041,NA,Mumbai G.P.O. ,NA,NA
Tajmahal S.O,400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22023549,NA,Mumbai G.P.O. ,NA,NA
Thakurdwar S.O,400002,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22016206,NA,Kalbadevi H.O,NA,NA
Town Hall S.O (Mumbai),400001,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22660701,NA,Mumbai G.P.O. ,NA,NA
V.W.T.C. S.O,400005,S.O,Non-Delivery,Mumbai  South,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22187488,NA,Mumbai G.P.O. ,NA,NA
Agripada S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23012516,NA,Mumbai Central H.O,NA,NA
Bharat Nagar S.O (Mumbai),400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23095470,NA,Mumbai Central H.O,NA,NA
Bhawani Shankar Rd S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24224371,NA,Mahim H.O,NA,NA
Bhawani Shankar S.O,400028,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24302745,NA,Mahim H.O,NA,NA
BPC  Jacob Circle S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23001811,NA,Mumbai Central H.O,NA,NA
Century Mill S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24229498,NA,Mahim H.O,NA,NA
Chinchpokli S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23000103,NA,Mumbai Central H.O,NA,NA
Cumballa Hill S.O,400026,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23672862,NA,Mumbai Central H.O,NA,NA
Cumballa Sea Face S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23625381,NA,Mumbai Central H.O,NA,NA
Delisle Road S.O,400013,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24922759,NA,Mahim H.O,NA,NA
Dharavi Road S.O,400017,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24092586,NA,Mahim H.O,NA,NA
Dharavi S.O,400017,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24015277,NA,Mahim H.O,NA,NA
Dr Deshmukh Marg S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23523632,NA,Mumbai Central H.O,NA,NA
Falkland Road S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23081680,NA,Mumbai Central H.O,NA,NA
Gokhale Road S.O (Mumbai),400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24223789,NA,Mahim H.O,NA,NA
Gowalia Tank S.O,400026,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23805233,NA,Mumbai Central H.O,NA,NA
Grant Road S.O,400007,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23811135,NA,Mumbai Central H.O,NA,NA
Haines Road S.O,400011,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23073525,NA,Mumbai Central H.O,NA,NA
Haji Ali S.O,400034,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23530722,NA,Mumbai Central H.O,NA,NA
J.J.Hospital S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23735207,NA,Mumbai Central H.O,NA,NA
Jacob Circle S.O,400011,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23085905,NA,Mumbai Central H.O,NA,NA
Kamathipura S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23070526,NA,Mumbai Central H.O,NA,NA
Kapad Bazar S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24448184,NA,Mahim H.O,NA,NA
M A Marg S.O,400008,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23071201,NA,Mumbai Central H.O,NA,NA
Mahim Bazar S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24376630,NA,Mahim H.O,NA,NA
Mahim East S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24216001,NA,Mahim H.O,NA,NA
Mahim H.O,400016,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24457011,NA,NA,NA,NA
Malabar Hill S.O,400006,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23679451,NA,Mumbai Central H.O,NA,NA
Mori Road S.O,400016,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24448315,NA,Mahim H.O,NA,NA
Mumbai Central H.O,400008,H.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23017296,NA,NA,NA,NA
N.S.Patkar Marg S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23678867,NA,Mumbai Central H.O,NA,NA
New Prabhadevi Road S.O,400025,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24302106,NA,Mahim H.O,NA,NA
Prabhadevi S.O,400025,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24224616,NA,Mahim H.O,NA,NA
Rajbhavan S.O (Mumbai),400035,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23633640,NA,Mumbai Central H.O,NA,NA
Ranade Road S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24383104,NA,Mahim H.O,NA,NA
S V Marg S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23876839,NA,Mumbai Central H.O,NA,NA
S V S Marg S.O,400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24457002,NA,Mahim H.O,NA,NA
Shivaji Park S.O (Mumbai),400028,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24301777,NA,Mahim H.O,NA,NA
Tardeo S.O,400007,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23515840,NA,Mumbai Central H.O,NA,NA
Tulsiwadi S.O,400034,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-23519239,NA,Mumbai Central H.O,NA,NA
Worli Colony S.O,400030,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24933945,NA,Mahim H.O,NA,NA
Worli Naka S.O,400018,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24934927,NA,Mahim H.O,NA,NA
Worli Police Camp S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24913668,NA,Mahim H.O,NA,NA
Worli S.O,400018,S.O,Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24930108,NA,Mahim H.O,NA,NA
Worli Sea Face S.O,400030,S.O,Non-Delivery,Mumbai  West,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-24367499,NA,Mahim H.O,NA,NA
Mumbai G.P.O. ,400001,H.O,Delivery,Mumbai G.P.O.,Mumbai,Maharashtra,Mumbai,Mumbai,MAHARASHTRA,022-22620693,NA,NA,NA,NA
